Port,Country,Region,Year,Throughput_TEU,Cargo_Tons,Vessel_Arrivals,Imports_TEU,Exports_TEU,Growth_Rate_%
Shanghai,China,Asia,2001,33307083,611997725,39855,17540185,15766897,0.76
Rotterdam,Netherlands,Europe,2018,35948143,816019867,14499,20757079,15191063,8.26
Antwerp,Belgium,Europe,2019,30834058,741081935,15539,17874837,12959220,5.31
Rotterdam,Netherlands,Europe,2015,38163773,919823319,12200,15304143,22859629,-2.27
Singapore,Singapore,Asia,2001,23877237,399379313,38643,12951869,10925367,-0.97
Dubai,UAE,Middle East,2015,35467575,700289303,43986,18851816,16615758,4.66
Rotterdam,Netherlands,Europe,2021,6983509,95393648,24373,4160625,2822883,3.27
Antwerp,Belgium,Europe,2001,32180308,564428327,49790,16041997,16138310,-1.68
Rotterdam,Netherlands,Europe,2003,42327394,911237268,18208,25350303,16977090,2.99
Dubai,UAE,Middle East,2005,51315618,1088700944,43828,30053695,21261922,2.28
Dubai,UAE,Middle East,2002,54742523,1247863576,10190,25243934,29498588,-1.75
Shanghai,China,Asia,2002,47632984,758334824,33093,25683988,21948995,4.69
Antwerp,Belgium,Europe,2017,29190239,585764984,28070,12493912,16696326,3.81
Singapore,Singapore,Asia,2016,26130343,534502335,22533,12330862,13799480,-0.01
Hamburg,Germany,Europe,2002,31658609,728340642,18716,13180075,18478533,-4.91
Busan,South Korea,Asia,2012,34093907,673336217,16655,16343144,17750762,-4.14
Rotterdam,Netherlands,Europe,2022,7503771,140192754,20966,4010054,3493716,0.58
Shenzhen,China,Asia,2021,9422201,98532702,14777,5319021,4103179,1.12
Dubai,UAE,Middle East,2000,23762804,334417356,31606,9910740,13852063,-4.12
Busan,South Korea,Asia,2014,36530803,438047483,47233,18384494,18146308,0.49
Shanghai,China,Asia,2023,27364990,451599259,47945,11375387,15989602,-4.57
Dubai,UAE,Middle East,2022,32657342,667503435,19204,13443026,19214315,10.56
Singapore,Singapore,Asia,2021,54267247,691526983,13343,27314835,26952411,6.17
Dubai,UAE,Middle East,2021,53487260,871521464,29531,27450059,26037200,-2.3
Los Angeles,USA,North America,2024,33766157,384157095,23296,15609508,18156648,11.65
Dubai,UAE,Middle East,2011,11597519,132994693,45247,6510645,5086873,0.89
Dubai,UAE,Middle East,2022,10084921,194011203,42580,5822388,4262532,-0.56
Shenzhen,China,Asia,2018,18470137,323515499,19540,9914635,8555501,5.47
Hamburg,Germany,Europe,2001,51756336,1190808950,32687,30435108,21321227,4.78
Singapore,Singapore,Asia,2002,16438459,196069806,15052,8369203,8069255,11
Rotterdam,Netherlands,Europe,2000,39641312,783798786,27450,17408808,22232503,-3.82
Singapore,Singapore,Asia,2018,43134513,873262598,37472,22910660,20223852,1.55
Shenzhen,China,Asia,2001,50932658,724660772,13267,27431212,23501445,0.92
Antwerp,Belgium,Europe,2003,33372244,818077453,48756,18358837,15013406,8.72
Shanghai,China,Asia,2002,32348975,385449227,15104,17962822,14386152,0.79
Dubai,UAE,Middle East,2011,35575984,718552045,12914,14964140,20611843,10.34
Busan,South Korea,Asia,2015,37425301,541339299,49954,17883318,19541982,-4.82
Qingdao,China,Asia,2018,52911176,782540661,27101,28326208,24584967,3.2
Shenzhen,China,Asia,2014,27159503,454288392,47259,12649074,14510428,6.43
Busan,South Korea,Asia,2020,49362902,1072134625,11062,20645600,28717301,3.41
Hamburg,Germany,Europe,2013,16398366,177726594,33714,9470726,6927639,0.97
Singapore,Singapore,Asia,2014,15164811,308155785,27337,7940956,7223854,-3.28
Hamburg,Germany,Europe,2013,21434343,237737838,37569,12397182,9037160,-2.51
Dubai,UAE,Middle East,2005,14726290,275669982,36432,8483403,6242886,-0.98
Hamburg,Germany,Europe,2024,19509187,297578968,33803,8129481,11379705,8.21
Los Angeles,USA,North America,2006,15080346,207066154,38178,6367517,8712828,3.37
Singapore,Singapore,Asia,2019,45557019,979836847,35470,24138024,21418994,7.68
Qingdao,China,Asia,2016,25471192,586575747,47797,12411275,13059916,8.64
Dubai,UAE,Middle East,2015,16889876,420464544,31732,7610544,9279331,6.82
Qingdao,China,Asia,2017,47801198,929302113,48413,21935911,25865286,11.93
Los Angeles,USA,North America,2021,44521538,1047029489,34504,25958321,18563216,11.3
Antwerp,Belgium,Europe,2005,15873803,184157401,39703,6888214,8985588,6
Antwerp,Belgium,Europe,2017,6344027,70837529,14835,3788920,2555106,6.87
Shanghai,China,Asia,2008,26288948,583796704,45547,11940217,14348730,-2.74
Rotterdam,Netherlands,Europe,2005,49620658,1036366772,20136,23998962,25621695,10.86
Singapore,Singapore,Asia,2012,41869124,435250671,37712,20770184,21098939,11.75
Dubai,UAE,Middle East,2024,10001045,224398080,31168,5677250,4323794,2.97
Rotterdam,Netherlands,Europe,2000,45804335,509819924,22763,25768612,20035722,12
Los Angeles,USA,North America,2002,41750772,783964390,13636,24589248,17161523,9.44
Shanghai,China,Asia,2020,13247752,158143598,27100,5848160,7399591,9.93
Antwerp,Belgium,Europe,2001,18088862,211700534,24489,9037793,9051068,3.1
Rotterdam,Netherlands,Europe,2017,41213003,916815646,18427,21108788,20104214,9.9
Qingdao,China,Asia,2016,43720111,752016054,25254,24090981,19629129,5.55
Singapore,Singapore,Asia,2010,47258866,1112817082,23051,28170657,19088208,5.34
Singapore,Singapore,Asia,2014,37843745,576126816,41703,22028626,15815118,0.07
Shenzhen,China,Asia,2018,48558992,1177206385,49811,23884680,24674311,9.32
Shanghai,China,Asia,2019,30816023,329359157,17941,15362515,15453507,0.59
Rotterdam,Netherlands,Europe,2014,21663288,366148287,25183,9323457,12339830,-2.64
Antwerp,Belgium,Europe,2003,47971495,980898199,28271,23735927,24235567,6.35
Singapore,Singapore,Asia,2018,46311634,1033993347,31969,21105048,25206585,-1.99
Dubai,UAE,Middle East,2005,53365056,961443663,26907,23548224,29816831,1.19
Shenzhen,China,Asia,2012,44010202,466054048,20488,21839141,22171060,6.69
Antwerp,Belgium,Europe,2010,14818159,161757533,39721,8500588,6317570,-3.56
Rotterdam,Netherlands,Europe,2019,31733262,572749193,10055,15768403,15964858,5.51
Hamburg,Germany,Europe,2013,45414423,944971547,49577,18498958,26915464,-0.71
Hamburg,Germany,Europe,2002,24678830,559385417,48638,10021935,14656894,9.74
Los Angeles,USA,North America,2002,33084082,451169530,18152,18112907,14971174,-1.9
Hamburg,Germany,Europe,2024,40747046,461992653,14632,23556089,17190956,5.09
Busan,South Korea,Asia,2009,39021442,769984462,36734,20167838,18853603,7.53
Antwerp,Belgium,Europe,2007,47024304,868392091,25913,21478594,25545709,1.17
Shenzhen,China,Asia,2001,47855866,734178417,27260,22304168,25551697,10.87
Dubai,UAE,Middle East,2021,33272916,409020199,15622,16555337,16717578,9.46
Antwerp,Belgium,Europe,2022,14057014,151457749,45358,6776596,7280417,11.7
Los Angeles,USA,North America,2001,8094235,192326585,32350,4560408,3533826,-0.62
Antwerp,Belgium,Europe,2005,40912253,979465513,10846,20742812,20169440,3.1
Dubai,UAE,Middle East,2005,53014453,1095505881,46976,26823617,26190835,7.02
Los Angeles,USA,North America,2004,31216317,384442701,49756,15811622,15404694,-4.12
Singapore,Singapore,Asia,2023,45435721,828249883,19865,27170199,18265521,0.48
Singapore,Singapore,Asia,2019,24931456,301231115,29216,10554462,14376993,3.04
Los Angeles,USA,North America,2022,26982813,313013818,27988,15275614,11707198,11.41
Dubai,UAE,Middle East,2023,33151242,798119693,29019,15774876,17376365,10.75
Los Angeles,USA,North America,2007,7155748,93199394,33325,4043187,3112560,-1.83
Rotterdam,Netherlands,Europe,2013,36956377,872835414,26984,21266181,15690195,1.67
Antwerp,Belgium,Europe,2007,12021862,248933532,49711,5921199,6100662,0.12
Hamburg,Germany,Europe,2014,54875088,1289214388,28381,22681181,32193906,-1.11
Hamburg,Germany,Europe,2018,46459909,1119566814,41110,25372212,21087696,6.79
Busan,South Korea,Asia,2014,20586926,397350139,35053,11915270,8671655,8.41
Los Angeles,USA,North America,2024,21559100,295949033,27334,9240782,12318317,-1.52
Singapore,Singapore,Asia,2009,46259524,1070976655,33710,22008630,24250893,2.77
Busan,South Korea,Asia,2023,14828366,325622472,24382,7144173,7684192,8.12
Rotterdam,Netherlands,Europe,2018,17920739,325097736,44884,10131664,7789074,11.3
Antwerp,Belgium,Europe,2005,41940933,671590566,10814,19191580,22749352,5.45
Shenzhen,China,Asia,2012,30291709,348715701,25328,12226401,18065307,9.83
Busan,South Korea,Asia,2015,44302467,968065148,48727,23492421,20810045,8.11
Shenzhen,China,Asia,2008,14688053,163915968,13368,8594181,6093871,2.66
Dubai,UAE,Middle East,2020,44816537,1012112976,29256,20903745,23912791,0.29
Rotterdam,Netherlands,Europe,2007,40981972,642990152,19524,19140197,21841774,8.65
Dubai,UAE,Middle East,2008,26012258,415481581,44393,15190407,10821850,0.89
Singapore,Singapore,Asia,2001,43410879,580363181,14971,25289002,18121876,-0.78
Qingdao,China,Asia,2006,44785651,729284244,32359,20704166,24081484,8.27
Los Angeles,USA,North America,2017,36299028,643494838,14944,21496794,14802233,-2.47
Los Angeles,USA,North America,2021,36029723,649473436,30806,18702200,17327522,-3.86
Hamburg,Germany,Europe,2018,34122426,750581802,37965,15048942,19073483,-1.76
Antwerp,Belgium,Europe,2018,18781009,270646926,48258,9215047,9565961,3.91
Shanghai,China,Asia,2017,44648899,568332350,22342,26308162,18340736,1.35
Shenzhen,China,Asia,2018,19493549,348908737,26438,8406213,11087335,7.17
Antwerp,Belgium,Europe,2000,25820280,344173550,40678,13797803,12022476,-4.66
Los Angeles,USA,North America,2024,18061358,334887428,49986,9582439,8478918,-0.95
Singapore,Singapore,Asia,2002,42783647,1062357817,19503,24435421,18348225,9.11
Busan,South Korea,Asia,2019,6962165,91028667,10822,4032953,2929211,-4.78
Hamburg,Germany,Europe,2000,25449430,578259948,30079,11103257,14346172,4.91
Singapore,Singapore,Asia,2001,23786176,529519606,32419,11112263,12673912,9.03
Rotterdam,Netherlands,Europe,2022,17790902,249445429,24596,8344616,9446285,8.16
Qingdao,China,Asia,2001,12271476,176917702,27771,5252469,7019006,9.76
Antwerp,Belgium,Europe,2013,14944790,328752932,38529,6045075,8899714,-0.43
Antwerp,Belgium,Europe,2001,41413676,664202916,33752,17719719,23693956,9.19
Busan,South Korea,Asia,2012,20985249,295569045,26458,11846525,9138723,4
Shenzhen,China,Asia,2003,41207525,453597229,32180,21851694,19355830,9.11
Hamburg,Germany,Europe,2020,52226729,631957944,25646,30018775,22207953,5.16
Qingdao,China,Asia,2020,20016390,372293157,21664,9683010,10333379,1.51
Shenzhen,China,Asia,2013,5390719,82521507,48709,2951993,2438725,-3.59
Busan,South Korea,Asia,2018,52133465,574706054,34063,30399166,21734298,7.27
Antwerp,Belgium,Europe,2002,36354977,579852452,12711,21353675,15001301,7.45
Shanghai,China,Asia,2003,41905710,583912514,11762,23815263,18090446,9.39
Singapore,Singapore,Asia,2008,27708377,474188962,44888,11499739,16208637,7.38
Qingdao,China,Asia,2010,24482215,404505195,23350,10164689,14317525,-3.68
Rotterdam,Netherlands,Europe,2005,45131083,695677973,14090,26736545,18394537,8.43
Qingdao,China,Asia,2022,29376816,375347399,11341,17380327,11996488,7.89
Dubai,UAE,Middle East,2016,15880726,331296558,49887,9049459,6831266,-0.76
Qingdao,China,Asia,2011,15563214,317452652,35064,9163805,6399408,-4.33
Shenzhen,China,Asia,2015,19488262,487017562,32297,10008957,9479304,10.56
Dubai,UAE,Middle East,2006,7035848,90684942,18007,4180782,2855065,11.05
Singapore,Singapore,Asia,2019,8433382,141909828,27850,4771464,3661917,-4.37
Antwerp,Belgium,Europe,2002,53068795,913628567,26514,28617759,24451035,0.78
Hamburg,Germany,Europe,2022,17267883,320948063,38535,8770327,8497555,8.44
Qingdao,China,Asia,2012,8828433,157168369,23737,5079289,3749143,2.1
Rotterdam,Netherlands,Europe,2009,30625121,316021884,39430,13386074,17239046,1.53
Rotterdam,Netherlands,Europe,2006,45739629,698017714,39629,19105840,26633788,-4.36
Qingdao,China,Asia,2015,31035947,768488905,47129,12983573,18052373,0.72
Busan,South Korea,Asia,2004,23907101,240271037,43933,10982935,12924165,9.5
Singapore,Singapore,Asia,2004,51571160,730195264,34557,21093642,30477517,-3.14
Qingdao,China,Asia,2023,19133434,463974634,42123,9251324,9882109,9.95
Antwerp,Belgium,Europe,2010,22336140,554779989,34262,13362232,8973907,-1.06
Busan,South Korea,Asia,2021,15812658,279731101,21593,6473529,9339128,1.53
Qingdao,China,Asia,2016,22803769,494699653,25876,9385313,13418455,11.47
Shanghai,China,Asia,2008,30242722,573375125,40448,13148901,17093820,1.74
Singapore,Singapore,Asia,2017,41595773,1037608081,34578,23425351,18170421,-1.18
Antwerp,Belgium,Europe,2014,20527000,387839170,44701,11741964,8785035,2.78
Antwerp,Belgium,Europe,2002,36500922,435920430,27602,21576800,14924121,9.66
Qingdao,China,Asia,2014,46723416,853303231,25585,22506232,24217183,1.34
Antwerp,Belgium,Europe,2004,13197295,230136225,39125,7818399,5378895,-3.14
Dubai,UAE,Middle East,2012,37027216,404439223,19516,18369843,18657372,5.07
Shenzhen,China,Asia,2002,22434167,447150641,16183,11512011,10922155,-0.46
Los Angeles,USA,North America,2023,7366610,169597130,12139,4199824,3166785,9.74
Qingdao,China,Asia,2012,43175082,586332745,36292,23143059,20032022,5.52
Los Angeles,USA,North America,2006,33506244,777782498,19017,16521727,16984516,9.94
Shenzhen,China,Asia,2009,36984287,555754848,46509,21515248,15469038,-4.98
Singapore,Singapore,Asia,2013,33500556,590012328,43062,14694234,18806321,-3.57
Shanghai,China,Asia,2008,34263888,402177794,17009,18050255,16213632,4.18
Rotterdam,Netherlands,Europe,2015,13989138,299583245,39257,6804990,7184147,9.28
Dubai,UAE,Middle East,2021,13067987,265519095,17491,6013792,7054194,7.04
Los Angeles,USA,North America,2016,22375113,382695169,30953,9284304,13090808,9.49
Busan,South Korea,Asia,2002,7773939,166159767,31510,3211610,4562328,8.97
Rotterdam,Netherlands,Europe,2010,54050169,541336343,21745,24577981,29472187,11.95
Shanghai,China,Asia,2002,49924392,621776216,45612,26896089,23028302,-1.25
Singapore,Singapore,Asia,2014,42041101,565486661,21722,19114066,22927034,11.16
Antwerp,Belgium,Europe,2020,19063918,310663887,38602,11303075,7760842,7.92
Dubai,UAE,Middle East,2002,18245696,270239578,29982,10019941,8225754,-1.59
Shanghai,China,Asia,2024,44304715,817034515,33019,21914972,22389742,11.46
Qingdao,China,Asia,2016,52123764,641376169,27434,29656161,22467602,7.94
Rotterdam,Netherlands,Europe,2011,10481140,248167617,25251,5862179,4618960,3.19
Hamburg,Germany,Europe,2016,41210403,757290199,19208,17809697,23400705,6.08
Dubai,UAE,Middle East,2020,7938199,130969973,39759,3898005,4040193,-4.8
Singapore,Singapore,Asia,2017,53055661,1306256783,36143,28193606,24862054,7.87
Los Angeles,USA,North America,2008,40943815,854263204,13762,17236774,23707040,-0.89
Qingdao,China,Asia,2013,13033951,133930553,39781,5761917,7272033,0.88
Antwerp,Belgium,Europe,2017,47590048,845469309,37424,27435981,20154066,-3.6
Busan,South Korea,Asia,2021,46208934,554079142,33398,20339870,25869063,6.78
Singapore,Singapore,Asia,2009,53243574,1067841506,16090,22620212,30623361,10.24
Qingdao,China,Asia,2005,36050824,388612353,36015,16574985,19475838,10.9
Antwerp,Belgium,Europe,2017,6308507,138950678,23629,3295889,3012617,3.23
Busan,South Korea,Asia,2015,8081091,153234762,26405,3963481,4117609,5.94
Qingdao,China,Asia,2009,9755469,109499771,25349,5059729,4695739,6.06
Qingdao,China,Asia,2012,32346162,429822587,30022,15980185,16365976,7.65
Hamburg,Germany,Europe,2020,15556086,165748927,34363,7950291,7605794,7.23
Los Angeles,USA,North America,2004,53226615,1310540255,24025,25583493,27643121,-1.25
Los Angeles,USA,North America,2014,37997728,859006508,17005,22500586,15497141,2.07
Antwerp,Belgium,Europe,2019,21169764,321548072,35963,11718412,9451351,3.58
Singapore,Singapore,Asia,2016,7363999,138596909,35849,4013758,3350240,3.27
Singapore,Singapore,Asia,2014,48279777,1057053921,22201,28891905,19387871,-0.17
Rotterdam,Netherlands,Europe,2012,33175911,747784070,37490,18419267,14756643,1.89
Hamburg,Germany,Europe,2009,18607851,290147188,43142,8980264,9627586,-3.82
Qingdao,China,Asia,2021,53854843,865733403,42781,27087018,26767824,1.11
Singapore,Singapore,Asia,2006,36241029,716914551,36616,17388778,18852250,9.59
Dubai,UAE,Middle East,2000,38707431,734694511,42419,22990828,15716602,2.71
Shenzhen,China,Asia,2002,24432053,306533542,15724,11419557,13012495,9.09
Shanghai,China,Asia,2004,46916167,903472828,33040,21135993,25780173,1.11
Qingdao,China,Asia,2010,13705956,210399867,25563,6783436,6922519,9.35
Antwerp,Belgium,Europe,2014,43209230,793844456,27658,18250884,24958345,-0.41
Singapore,Singapore,Asia,2008,25709657,272269204,49030,11439260,14270396,-1.94
Dubai,UAE,Middle East,2000,36073264,677097347,35611,15499550,20573713,11.77
Antwerp,Belgium,Europe,2010,12536765,304357260,33857,7454605,5082159,4.86
Antwerp,Belgium,Europe,2014,31220970,541143666,23605,13360397,17860572,-4.49
Busan,South Korea,Asia,2015,14963441,194940743,14470,6471334,8492106,-1.8
Hamburg,Germany,Europe,2007,31844511,430487455,48006,18753959,13090551,6.62
Singapore,Singapore,Asia,2017,41387984,929704818,10302,21278471,20109512,-4.48
Antwerp,Belgium,Europe,2024,13704813,325902741,45840,6073082,7631730,6.2
Dubai,UAE,Middle East,2015,50560900,943354075,18125,26876610,23684289,11.99
Los Angeles,USA,North America,2008,35338208,569073052,16924,19664903,15673304,4.64
Qingdao,China,Asia,2010,20099203,397113514,45941,9354302,10744900,6.35
Los Angeles,USA,North America,2001,17417420,382612031,35426,9993769,7423650,1.39
Los Angeles,USA,North America,2006,29733272,443790445,33616,14072528,15660743,1.73
Dubai,UAE,Middle East,2018,11978140,200399125,18927,5685428,6292711,-1.14
Shenzhen,China,Asia,2010,46655138,584433320,35537,22986930,23668207,1.46
Shenzhen,China,Asia,2007,19846767,450670668,36523,8040489,11806277,0.8
Dubai,UAE,Middle East,2001,52239471,977013174,21563,25876252,26363218,1.7
Hamburg,Germany,Europe,2005,15302330,272664750,34596,6720103,8582226,-4.87
Dubai,UAE,Middle East,2014,44115544,874387561,46914,18177963,25937580,10.89
Los Angeles,USA,North America,2018,37945953,474133700,17151,19148170,18797782,6.39
Rotterdam,Netherlands,Europe,2007,54397865,1041991471,22289,24725178,29672686,2.03
Qingdao,China,Asia,2010,44697758,1023186967,39734,22573828,22123929,7.05
Antwerp,Belgium,Europe,2016,25668329,328000860,34611,12446713,13221615,-3.52
Los Angeles,USA,North America,2000,51704300,1008092730,21130,20708440,30995859,5.85
Dubai,UAE,Middle East,2021,45071048,987333487,26393,19603863,25467184,1.13
Shenzhen,China,Asia,2007,23552983,360391746,45993,10625433,12927549,0.14
Antwerp,Belgium,Europe,2018,36886947,603325627,46041,20726996,16159950,8.03
Shenzhen,China,Asia,2000,13889782,261115775,36160,7602915,6286866,9.67
Hamburg,Germany,Europe,2020,13437712,170345702,12852,7100410,6337301,5.32
Shenzhen,China,Asia,2008,6206861,120911094,17421,2658739,3548121,-0.33
Hamburg,Germany,Europe,2020,22034897,353985806,42117,10778550,11256346,7.32
Hamburg,Germany,Europe,2023,19578363,436217789,48467,10667618,8910744,4.83
Hamburg,Germany,Europe,2012,10559277,147549336,17843,4628906,5930370,0.5
Los Angeles,USA,North America,2008,38418214,424189240,16704,21759024,16659189,6.38
Dubai,UAE,Middle East,2007,26814501,506584376,18258,13583999,13230501,0.51
Rotterdam,Netherlands,Europe,2021,28467137,709175890,29201,13453251,15013885,11.92
Hamburg,Germany,Europe,2019,15093205,278234966,20526,8315866,6777338,-2.1
Shenzhen,China,Asia,2024,44970870,959788541,39328,20694273,24276596,11.68
Rotterdam,Netherlands,Europe,2015,37325149,504622250,47211,22202227,15122921,-4.66
Busan,South Korea,Asia,2007,17776695,321746748,42376,9498295,8278399,-3.42
Los Angeles,USA,North America,2017,33570055,716017593,21023,16830940,16739114,-2.29
Busan,South Korea,Asia,2000,41968086,585315824,28792,17522874,24445211,10.93
Qingdao,China,Asia,2000,42148490,943253349,28073,21922224,20226265,3.77
Rotterdam,Netherlands,Europe,2021,38427797,710861615,34819,16973638,21454158,10.82
Shenzhen,China,Asia,2005,26258833,509926863,21421,15114449,11144383,9.76
Los Angeles,USA,North America,2002,42711695,562928922,18264,19839821,22871873,-4.61
Singapore,Singapore,Asia,2002,15091985,367638389,38937,8519366,6572618,-2.75
Los Angeles,USA,North America,2000,8788963,167830206,41552,4581252,4207710,8
Busan,South Korea,Asia,2002,39523048,884447223,15772,18714435,20808612,-3.84
Singapore,Singapore,Asia,2003,48663896,656391786,33563,28865692,19798203,2.35
Busan,South Korea,Asia,2017,38065406,746553767,28268,15360821,22704584,5.24
Hamburg,Germany,Europe,2018,54223966,592138961,41497,23986029,30237936,3.24
Singapore,Singapore,Asia,2023,7061774,174815513,39794,2930113,4131660,8.31
Rotterdam,Netherlands,Europe,2006,25020303,509770429,42003,13176640,11843662,-1.11
Dubai,UAE,Middle East,2006,13815995,201627927,43187,6982718,6833276,2.24
Dubai,UAE,Middle East,2019,35590972,545023901,40874,17184244,18406727,9.07
Dubai,UAE,Middle East,2021,50944452,517874245,14481,21741092,29203359,2.12
Los Angeles,USA,North America,2014,22279636,476881067,15542,11669842,10609793,0.5
Shenzhen,China,Asia,2017,23463212,578089111,45153,9688507,13774704,-4.28
Shanghai,China,Asia,2002,5971248,108792510,14798,2984828,2986419,-0.48
Dubai,UAE,Middle East,2003,27700577,411911427,38411,14690782,13009794,8.78
Busan,South Korea,Asia,2005,12596585,274293764,40911,7021093,5575491,0.36
Shanghai,China,Asia,2001,5442939,60668374,33561,3189909,2253029,-0.7
Antwerp,Belgium,Europe,2020,52575798,1045748859,38602,25763449,26812348,-1.14
Shanghai,China,Asia,2022,16952983,393934628,40111,10132035,6820947,2.54
Antwerp,Belgium,Europe,2012,34084871,384200583,46224,14125345,19959525,-3.79
Antwerp,Belgium,Europe,2016,19501508,343786026,38903,9178390,10323117,0.04
Busan,South Korea,Asia,2014,25681938,511598565,38138,12389639,13292298,4.34
Los Angeles,USA,North America,2007,15401929,158858182,23279,7746115,7655813,10.28
Antwerp,Belgium,Europe,2007,36099208,567807857,35538,15316073,20783134,5.46
Qingdao,China,Asia,2008,33782808,606554507,30669,19565749,14217058,0.48
Busan,South Korea,Asia,2011,28992154,716093300,43548,14973999,14018154,7.72
Singapore,Singapore,Asia,2010,48561742,566332835,33953,21606241,26955500,1.33
Shenzhen,China,Asia,2024,36927921,891666660,12461,21627335,15300585,6.49
Rotterdam,Netherlands,Europe,2013,27272887,678719366,40841,15359800,11913086,9.64
Shanghai,China,Asia,2011,14625105,285790075,49933,7197129,7427975,9.31
Antwerp,Belgium,Europe,2013,51482054,654281252,38927,26204642,25277411,11.74
Los Angeles,USA,North America,2012,41785617,485513590,34858,24779955,17005661,3.3
Hamburg,Germany,Europe,2023,35779669,648812705,11724,19631758,16147910,5.4
Los Angeles,USA,North America,2018,52005718,1057446801,15926,26805544,25200173,9.91
Dubai,UAE,Middle East,2014,24748999,418836272,46495,13917610,10831388,7.61
Rotterdam,Netherlands,Europe,2000,28313511,365507834,39545,15048972,13264538,0.29
Dubai,UAE,Middle East,2013,33391654,641943649,21329,15730037,17661616,8.32
Busan,South Korea,Asia,2003,27461013,623933901,20805,15557655,11903357,-4.81
Qingdao,China,Asia,2001,42264820,655912444,46751,18164473,24100346,0.2
Antwerp,Belgium,Europe,2018,43373507,684461623,48019,23613152,19760354,10.07
Rotterdam,Netherlands,Europe,2004,34171429,553212459,12023,14887620,19283808,-4.51
Busan,South Korea,Asia,2024,48281526,1115976153,46060,25515101,22766424,-3.9
Shenzhen,China,Asia,2022,30464695,580422965,10161,15837796,14626898,5.24
Rotterdam,Netherlands,Europe,2016,54351998,606344051,22693,29300245,25051752,7.68
Shenzhen,China,Asia,2005,33849268,738903269,20258,16519789,17329478,-2.49
Hamburg,Germany,Europe,2016,11367712,128784882,11651,4689277,6678434,8.62
Qingdao,China,Asia,2021,13333100,168026407,44051,6656327,6676772,-1.97
Los Angeles,USA,North America,2014,42937226,905966700,13471,18917595,24019630,4.61
Shenzhen,China,Asia,2017,43844162,455670210,38272,22674535,21169626,4.97
Los Angeles,USA,North America,2016,38251322,553912941,33284,15729984,22521337,9.5
Shenzhen,China,Asia,2018,13221252,299183757,32436,6560136,6661115,2.4
Dubai,UAE,Middle East,2003,41421189,806369469,39309,22598897,18822291,3.44
Shanghai,China,Asia,2023,51206264,517461728,23493,22789078,28417185,-2.77
Qingdao,China,Asia,2019,8028631,137136295,33252,3322180,4706450,-4.03
Los Angeles,USA,North America,2006,47895286,1130032694,27015,28496111,19399174,1.31
Shenzhen,China,Asia,2024,52612108,737731466,40508,30021411,22590696,-4.21
Singapore,Singapore,Asia,2010,14322004,257600007,46768,7939711,6382292,-3.53
Singapore,Singapore,Asia,2023,11208714,274063330,21918,6461006,4747707,1.69
Shenzhen,China,Asia,2011,32758455,455420059,15432,16343069,16415385,11.65
